col_name,description
team_name,Full team display name (e.g. 'Las Vegas Aces').
team_slug,URL-safe team identifier (e.g. 'lasvegas-aces' / 'aces').
team_city,Team city or region (e.g. 'Las Vegas').
team_tricode,Three-letter team code (e.g. 'LAS' / 'NYL').
team_abbreviation,Short team abbreviation (e.g. 'LAS').
team_display_name,Full team display name.
team_short_display_name,"Short team display name (e.g. 'Aces')."
team_location,Team city or location string.
team_color,Team primary color (hex without leading '#').
team_alternate_color,Team alternate color (hex without leading '#').
team_logo,Team logo image URL.
team_score,Team's score / final score.
team_uid,ESPN universal team identifier (UID format 's:40~l:...~t:...').
team_id,Unique team identifier.
team_record,Team record string (e.g. '8-3' or '8-3 Overall').
team_winner,TRUE if the team won this game.
first_name,Player's first name.
last_name,Player's last name.
family_name,Player's family / last name.
full_name,Player's full name.
display_name,Display name.
short_name,Short display name.
name,Display name.
name_i,"Initialed name (e.g. 'A. Wilson')."
position,"Listed roster position (G, F, C, etc.)."
jersey_num,Jersey number worn by the player.
jersey,Jersey number worn by the player.
player_slug,URL-safe player identifier.
person_id,Unique player identifier (V3 endpoints).
player_id,Unique player identifier.
athlete_id,Unique athlete identifier (ESPN).
athlete_name,Athlete display name (ESPN).
height,Player height (string e.g. '6-2' or inches).
weight,Player weight in pounds.
birth_date,Date of birth (YYYY-MM-DD).
birth_place,Place of birth.
country,Country (full name or code).
nationality,Nationality.
college,College or school attended.
draft_year,Draft year (4-digit).
draft_round,Round of the draft selection.
draft_pick,Pick number within the round.
draft_overall,Overall pick number.
minutes,"Minutes played, formatted MM:SS (V3 PT-duration parsed) or decimal minutes (V2)."
points,Points scored.
assists,Total assists.
blocks,Total blocks.
steals,Total steals.
turnovers,Total turnovers.
rebounds,Total rebounds.
rebounds_total,Total rebounds.
rebounds_offensive,Offensive rebounds.
rebounds_defensive,Defensive rebounds.
fouls_personal,Personal fouls.
fouls_technical,Technical fouls.
field_goals_made,Field goals made (2-pt + 3-pt).
field_goals_attempted,Field goal attempts (2-pt + 3-pt).
field_goals_percentage,Field goal percentage (0-1 decimal).
three_pointers_made,Three-point field goals made.
three_pointers_attempted,Three-point field goal attempts.
three_pointers_percentage,Three-point field goal percentage (0-1 decimal).
free_throws_made,Free throws made.
free_throws_attempted,Free throw attempts.
free_throws_percentage,Free throw percentage (0-1 decimal).
plus_minus_points,Plus/minus point differential while on court.
comment,"Player status / inactive reason (e.g. 'DNP - Coach's Decision', 'Inactive')."
starter,TRUE if the player was in the starting lineup; FALSE otherwise.
title,Title or label for the record.
type,Record type / category.
status,Status label.
abbreviation,Short abbreviation.
deep_link,Deep link URL into wnba.com / espn.com.
permode,"Per-mode aggregation ('Totals', 'PerGame', 'Per40', 'Per100Possessions', etc.)."
per_mode,"Per-mode aggregation ('Totals', 'PerGame', 'Per40', 'Per100Possessions', etc.)."
seasontype,"Season type ('Regular Season', 'Playoffs', 'Pre Season', 'All Star')."
season_type,"Season type (1=pre-season, 2=regular season, 3=postseason, 4=off-season for ESPN; or string label for WNBA Stats)."
season,Season identifier (4-digit year or 'YYYY-YY' string).
season_year,Season year string ('YYYY-YY' format).
season_id,Unique season identifier.
season_segment,"Season segment filter ('Pre All-Star' / 'Post All-Star')."
game_id,Unique game identifier.
game_date,Game date (YYYY-MM-DD).
game_date_time,Game start date/time (ISO 8601).
game_time,Game start time.
date,Date in YYYY-MM-DD format.
timestamp,ISO 8601 UTC timestamp.
league_id,League identifier ('10' = WNBA).
conference_id,Conference identifier.
conference_name,Full conference name.
conference_short_name,Conference short name (e.g. 'ACC').
conference_uid,ESPN universal conference identifier.
division,Team division.
venue_id,Unique venue identifier.
venue_name,Venue name.
venue_city,Venue city.
venue_state,Venue state / region.
ranking,Ranking position.
record,Record string (e.g. '12-4').
href,Link / page URL.
url,Resource URL.
period,Period of the game (1-4 quarters; 5+ for OT).
period_display_value,"Period display label (e.g. '1st Quarter', 'OT')."
period_number,Numeric period (1-4 for quarters; 5+ for OT).
clock,Game clock value.
clock_display_value,"Game clock display string (e.g. '8:32')."
home_score,Home team score at the time of the play.
away_score,Away team score at the time of the play.
home_team_id,Unique identifier for the home team.
away_team_id,Unique identifier for the away team.
gp,Games played.
g,Games played.
w,Wins.
l,Losses.
gs,Games started.
min,Minutes played.
fg,Field goals made.
fga,Field goal attempts.
fgm,Field goals made.
fg_pct,Field goal percentage (0-1).
fg3m,Three-point field goals made.
fg3a,Three-point field goal attempts.
fg3_pct,Three-point field goal percentage (0-1).
ftm,Free throws made.
fta,Free throw attempts.
ft_pct,Free throw percentage (0-1).
oreb,Offensive rebounds.
dreb,Defensive rebounds.
reb,Total rebounds.
ast,Assists.
stl,Steals.
blk,Blocks.
tov,Turnovers.
pf,Personal fouls.
pts,Points scored.
plus_minus,Plus/minus point differential while on court.
ts_pct,True shooting percentage (0-1).
efg_pct,Effective field goal percentage (0-1).
off_rating,"Offensive rating (points produced per 100 possessions)."
def_rating,"Defensive rating (points allowed per 100 possessions)."
net_rating,"Net rating (off rating - def rating)."
pace,"Possessions per 48 minutes."
ast_pct,Assist percentage (0-1).
ast_to,Assist-to-turnover ratio.
ast_ratio,"Assist ratio (assists per 100 possessions used)."
oreb_pct,Offensive rebound percentage (0-1).
dreb_pct,Defensive rebound percentage (0-1).
reb_pct,Total rebound percentage (0-1).
tov_pct,Turnover percentage (0-1).
usg_pct,Usage percentage (0-1).
pie,Player Impact Estimate (0-1).
home_away,"Game venue label ('home' or 'away')."
order,"Display order within the result set."
event_id,Unique event / game identifier (ESPN).
event_num,"Sequential event number within the game (V2 PBP)."
event_type,"Event / play type code (V2 PBP)."
play_id,Unique play identifier within a game.
play_type,Play type code.
action_id,"Unique action identifier within a game (V3 PBP)."
action_number,"Sequential action number within a game (V3 PBP)."
action_type,"Action type label (e.g. 'Made Shot', 'Substitution')."
sub_type,Action sub-type label.
official_id,Unique official / referee identifier.
position_id,Unique position identifier.
position_name,"Listed roster position ('Guard', 'Forward', 'Center')."
position_abbreviation,"Position abbreviation ('G' / 'F' / 'C')."
slug,URL-safe identifier.
short_display_name,Short display name.
mid_display_name,Medium-length display name.
nickname,Team or athlete nickname.
mascot,Team mascot.
headline,News headline.
description,Long-form description text.
text,Text description of the play / record.
text_type,Type of the text field.
type,Record type / category.
category,Category label.
status_name,Status label.
status_id,Status identifier.
year,4-digit year.
year_min,Earliest 4-digit year.
year_max,Latest 4-digit year.
side,"Side label (e.g. 'home', 'away', or 'overUnder')."
team,Team-side label or team identifier.
team_is_active,TRUE if the team is currently active.
team_is_all_star,TRUE if the row represents an All-Star team.
team_guid,ESPN team GUID.
team_sdr,ESPN team SDR identifier.
team_full_name,Full team name (e.g. 'Las Vegas Aces').
team_logo_dark,Team logo URL for dark backgrounds.
team_logo_href,Team logo URL.
score,Final score.
round,Tournament / playoff round.
round_number,Numeric round.
round_name,Round display name.
seed,Tournament seed.
wins,Total wins.
losses,Total losses.
draws,Total draws.
gp,Games played.
gs,Games started.
mins,Minutes played.
fast_break_points,Fast-break points scored.
points_fast_break,Fast-break points scored.
fast_break_pts,Fast-break points scored.
second_chance_points,Second-chance points scored.
points_second_chance,Second-chance points scored.
second_chance_pts,Second-chance points scored.
points_in_paint,Points scored in the paint.
points_paint,Points scored in the paint.
pts_paint,Points scored in the paint.
points_off_turnovers,Points scored off opponent turnovers.
pts_off_tov,Points scored off opponent turnovers.
