col_name,description,source,needs_review
3_point_field_goal_percentage,3-Point Field Goal Percentage.,espn_api,FALSE
3_point_field_goals_made_attempted,3-Point Field Goals Made-Attempted.,espn_api,FALSE
3_point_field_goals_made_attempted_per_game,3-Point Field Goals Made-Attempted Per Game.,espn_api,FALSE
a,A.,heuristic,TRUE
a_pct,A percentage (0-1 decimal).,heuristic,TRUE
a_pct_rk,A pct rk.,heuristic,TRUE
a_rate,A rate.,heuristic,TRUE
a_rate_rk,A rate rk.,heuristic,TRUE
abbrev,Short abbreviation.,curated,FALSE
abbreviation,Short abbreviation.,curated,FALSE
action_id,Unique action identifier within a game (V3 PBP).,curated,FALSE
action_number,Sequential action number within a game (V3 PBP).,curated,FALSE
action_type,"Action type label (e.g. 'Made Shot', 'Substitution').",curated,FALSE
active,TRUE if the row represents an active record (player / team / season).,curated,FALSE
adj2fp,Adj2fp.,heuristic,TRUE
adj2fp_rk,Adj2fp rk.,heuristic,TRUE
adj_d,Adj d.,heuristic,TRUE
adj_d_rk,Adj d rk.,heuristic,TRUE
adj_de,Adj de.,heuristic,TRUE
adj_de_rk,Adj de rk.,heuristic,TRUE
adj_em,Adj em.,heuristic,TRUE
adj_em_rk,Adj em rk.,heuristic,TRUE
adj_o,Adj o.,heuristic,TRUE
adj_o_rk,Adj o rk.,heuristic,TRUE
adj_oe,Adj oe.,heuristic,TRUE
adj_oe_rk,Adj oe rk.,heuristic,TRUE
adj_t,Adj t.,heuristic,TRUE
adj_t_chg,Adj t chg.,heuristic,TRUE
adj_t_rk,Adj t rk.,heuristic,TRUE
age,Player age (in years).,curated,FALSE
alley_oop,Alley oop.,heuristic,TRUE
alternate,Alternate.,heuristic,TRUE
alternate_color,Alternate color (hex without leading '#').,curated,FALSE
apg,Assists per game.,curated,FALSE
api_url,API endpoint URL.,curated,FALSE
app_url,URL for app.,heuristic,TRUE
area,Area.,heuristic,TRUE
area_detail,Area detail.,heuristic,TRUE
arena,Arena.,heuristic,TRUE
arena_city,Arena city.,heuristic,TRUE
arena_country,Arena country.,heuristic,TRUE
